ID,Excel行,设计单元ID,单元,位置标签,注入位置,故障类型,适用频率,事件触发条件,负载,计数基准,建议样本量,SDC%,Crash%,Timeout%,Masked%,仿真器断言崩溃占比%,潜伏期（commit序号）,污染扇出数,为什么这么设计（精简）
E016,R17,D04,Int Decode,源/目的寄存器号字段·单比特翻转,译码输出锁存器的源/目的寄存器操作数字段,单比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,寄存器号字段位宽窄、合法值密集（31 个架构寄存器只需 5 位编码），翻转后仍落在合法范围的概率较高，预期比 opcode 翻转更容易产生「合法但错误」的 SDC
E017,R18,D04,Int Decode,源/目的寄存器号字段·单比特翻转,译码输出锁存器的源/目的寄存器操作数字段,单比特翻转,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,寄存器号字段位宽窄、合法值密集（31 个架构寄存器只需 5 位编码），翻转后仍落在合法范围的概率较高，预期比 opcode 翻转更容易产生「合法但错误」的 SDC
E018,R19,D04,Int Decode,源/目的寄存器号字段·单比特翻转,译码输出锁存器的源/目的寄存器操作数字段,单比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,寄存器号字段位宽窄、合法值密集（31 个架构寄存器只需 5 位编码），翻转后仍落在合法范围的概率较高，预期比 opcode 翻转更容易产生「合法但错误」的 SDC
E019,R20,D04,Int Decode,源/目的寄存器号字段·单比特翻转,译码输出锁存器的源/目的寄存器操作数字段,单比特翻转,F2,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,寄存器号字段位宽窄、合法值密集（31 个架构寄存器只需 5 位编码），翻转后仍落在合法范围的概率较高，预期比 opcode 翻转更容易产生「合法但错误」的 SDC
E020,R21,D04,Int Decode,源/目的寄存器号字段·单比特翻转,译码输出锁存器的源/目的寄存器操作数字段,单比特翻转,F2,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,寄存器号字段位宽窄、合法值密集（31 个架构寄存器只需 5 位编码），翻转后仍落在合法范围的概率较高，预期比 opcode 翻转更容易产生「合法但错误」的 SDC
E021,R22,D05,Int Decode,源/目的寄存器号字段·双比特翻转,译码输出锁存器的源/目的寄存器操作数字段,双比特翻转,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,5 位编码的字段翻转 2 位后落在 0~30 合法范围的概率明显低于翻转 1 位，预期崩溃率高于 「源/目的寄存器号字段·单比特翻转」
E022,R23,D05,Int Decode,源/目的寄存器号字段·双比特翻转,译码输出锁存器的源/目的寄存器操作数字段,双比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,5 位编码的字段翻转 2 位后落在 0~30 合法范围的概率明显低于翻转 1 位，预期崩溃率高于 「源/目的寄存器号字段·单比特翻转」
E023,R24,D05,Int Decode,源/目的寄存器号字段·双比特翻转,译码输出锁存器的源/目的寄存器操作数字段,双比特翻转,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,5 位编码的字段翻转 2 位后落在 0~30 合法范围的概率明显低于翻转 1 位，预期崩溃率高于 「源/目的寄存器号字段·单比特翻转」
E024,R25,D05,Int Decode,源/目的寄存器号字段·双比特翻转,译码输出锁存器的源/目的寄存器操作数字段,双比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,5 位编码的字段翻转 2 位后落在 0~30 合法范围的概率明显低于翻转 1 位，预期崩溃率高于 「源/目的寄存器号字段·单比特翻转」
E025,R26,D06,Int Decode,立即数字段·单比特翻转,译码输出锁存器的立即数字段,单比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,立即数翻转不改变指令类型，几乎必然通过流水线；预期是 Int Decode 里单比特翻转 SDC 概率最高的字段
E026,R27,D06,Int Decode,立即数字段·单比特翻转,译码输出锁存器的立即数字段,单比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,立即数翻转不改变指令类型，几乎必然通过流水线；预期是 Int Decode 里单比特翻转 SDC 概率最高的字段
E027,R28,D07,Int Decode,立即数字段·双比特翻转,译码输出锁存器的立即数字段,双比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,立即数字段没有合法性门槛，预期双比特翻转的 SDC 概率和单比特翻转（「立即数字段·单比特翻转」）接近，不会像 opcode/寄存器号那样出现明显的崩溃率跃升——这是本方案里用来验证「位宽越窄越敏感」这条推论的反例对照
E028,R29,D07,Int Decode,立即数字段·双比特翻转,译码输出锁存器的立即数字段,双比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,立即数字段没有合法性门槛，预期双比特翻转的 SDC 概率和单比特翻转（「立即数字段·单比特翻转」）接近，不会像 opcode/寄存器号那样出现明显的崩溃率跃升——这是本方案里用来验证「位宽越窄越敏感」这条推论的反例对照
E029,R30,D08,Int Decode,立即数字段·符号扩展位定向翻转,译码输出锁存器的立即数字段——不是随机选位，是精确翻转「立即数完成符号扩展后的最高位（符号位）」这一根线,状态（结构化）,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,对地址类指令（load/store 偏移、ADR/ADRP）符号翻转会让目标地址产生巨大跳变，预期多数直接越界→Crash；对小整数常量场景（如循环计数初值、比较阈值）符号翻转只是让数值变号，不一定立刻崩溃，预期在这类场景下产生「数值方向错但仍在合法范围」的隐蔽 SDC，是本方案预期两极分化最明显的一行
E030,R31,D08,Int Decode,立即数字段·符号扩展位定向翻转,译码输出锁存器的立即数字段——不是随机选位，是精确翻转「立即数完成符号扩展后的最高位（符号位）」这一根线,状态（结构化）,F0,—（不涉及事件触发）,GAP,运行计数,2000 次运行,,,,,,,,对地址类指令（load/store 偏移、ADR/ADRP）符号翻转会让目标地址产生巨大跳变，预期多数直接越界→Crash；对小整数常量场景（如循环计数初值、比较阈值）符号翻转只是让数值变号，不一定立刻崩溃，预期在这类场景下产生「数值方向错但仍在合法范围」的隐蔽 SDC，是本方案预期两极分化最明显的一行
E031,R32,D08,Int Decode,立即数字段·符号扩展位定向翻转,译码输出锁存器的立即数字段——不是随机选位，是精确翻转「立即数完成符号扩展后的最高位（符号位）」这一根线,状态（结构化）,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,对地址类指令（load/store 偏移、ADR/ADRP）符号翻转会让目标地址产生巨大跳变，预期多数直接越界→Crash；对小整数常量场景（如循环计数初值、比较阈值）符号翻转只是让数值变号，不一定立刻崩溃，预期在这类场景下产生「数值方向错但仍在合法范围」的隐蔽 SDC，是本方案预期两极分化最明显的一行
E032,R33,D08,Int Decode,立即数字段·符号扩展位定向翻转,译码输出锁存器的立即数字段——不是随机选位，是精确翻转「立即数完成符号扩展后的最高位（符号位）」这一根线,状态（结构化）,F1,—（不涉及事件触发）,GAP,运行计数,2000 次运行,,,,,,,,对地址类指令（load/store 偏移、ADR/ADRP）符号翻转会让目标地址产生巨大跳变，预期多数直接越界→Crash；对小整数常量场景（如循环计数初值、比较阈值）符号翻转只是让数值变号，不一定立刻崩溃，预期在这类场景下产生「数值方向错但仍在合法范围」的隐蔽 SDC，是本方案预期两极分化最明显的一行
E033,R34,D09,Int Decode,立即数字段·子字段拼接错位,译码输出锁存器的立即数字段——模拟「把立即数的某个编码子字段拼到了错误的位移位置」这一类拼装逻辑故障，而不是某个比特被打翻,错位拼接（结构化）：子字段移位错位,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期是立即数相关三行里 SDC 概率最高的一行——拼装结果本身就是「合法值」，没有任何门槛可以拦截，且错位模式保留了原始比特的组成部分（只是位置错了），比纯数值错误更难被察觉
E034,R35,D09,Int Decode,立即数字段·子字段拼接错位,译码输出锁存器的立即数字段——模拟「把立即数的某个编码子字段拼到了错误的位移位置」这一类拼装逻辑故障，而不是某个比特被打翻,错位拼接（结构化）：子字段移位错位,F0,—（不涉及事件触发）,GAP,运行计数,2000 次运行,,,,,,,,预期是立即数相关三行里 SDC 概率最高的一行——拼装结果本身就是「合法值」，没有任何门槛可以拦截，且错位模式保留了原始比特的组成部分（只是位置错了），比纯数值错误更难被察觉
E035,R36,D09,Int Decode,立即数字段·子字段拼接错位,译码输出锁存器的立即数字段——模拟「把立即数的某个编码子字段拼到了错误的位移位置」这一类拼装逻辑故障，而不是某个比特被打翻,错位拼接（结构化）：子字段移位错位,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期是立即数相关三行里 SDC 概率最高的一行——拼装结果本身就是「合法值」，没有任何门槛可以拦截，且错位模式保留了原始比特的组成部分（只是位置错了），比纯数值错误更难被察觉
E036,R37,D09,Int Decode,立即数字段·子字段拼接错位,译码输出锁存器的立即数字段——模拟「把立即数的某个编码子字段拼到了错误的位移位置」这一类拼装逻辑故障，而不是某个比特被打翻,错位拼接（结构化）：子字段移位错位,F1,—（不涉及事件触发）,GAP,运行计数,2000 次运行,,,,,,,,预期是立即数相关三行里 SDC 概率最高的一行——拼装结果本身就是「合法值」，没有任何门槛可以拦截，且错位模式保留了原始比特的组成部分（只是位置错了），比纯数值错误更难被察觉
E037,R38,D10,Int Decode,裂解控制位·状态翻转,指令裂解控制位（该指令是否需要在 dispatch 级拆分成多个 µop 的判定，如 LDP/STP）——该字段本身为单比特控制位，无多比特版本,状态（结构化）,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,「不该拆的指令被拆」大概率产生非法 µop 序列→Crash；「该拆的指令不拆」可能导致 LDP/STP 类指令只搬一半数据，预期是这个位置里最可能产生 SDC 的模型
E038,R39,D10,Int Decode,裂解控制位·状态翻转,指令裂解控制位（该指令是否需要在 dispatch 级拆分成多个 µop 的判定，如 LDP/STP）——该字段本身为单比特控制位，无多比特版本,状态（结构化）,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,「不该拆的指令被拆」大概率产生非法 µop 序列→Crash；「该拆的指令不拆」可能导致 LDP/STP 类指令只搬一半数据，预期是这个位置里最可能产生 SDC 的模型
E039,R40,D10,Int Decode,裂解控制位·状态翻转,指令裂解控制位（该指令是否需要在 dispatch 级拆分成多个 µop 的判定，如 LDP/STP）——该字段本身为单比特控制位，无多比特版本,状态（结构化）,F2,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,「不该拆的指令被拆」大概率产生非法 µop 序列→Crash；「该拆的指令不拆」可能导致 LDP/STP 类指令只搬一半数据，预期是这个位置里最可能产生 SDC 的模型
E040,R41,D10,Int Decode,裂解控制位·状态翻转,指令裂解控制位（该指令是否需要在 dispatch 级拆分成多个 µop 的判定，如 LDP/STP）——该字段本身为单比特控制位，无多比特版本,状态（结构化）,F2,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,「不该拆的指令被拆」大概率产生非法 µop 序列→Crash；「该拆的指令不拆」可能导致 LDP/STP 类指令只搬一半数据，预期是这个位置里最可能产生 SDC 的模型
E041,R42,D11,Int Rename,RAT映射字段·单比特翻转,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,单比特翻转,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期大概率翻到「当前未分配」的物理寄存器号，命中依赖检查失败→Crash，SDC 概率很低，类似 TC'23 对 ROB 字段翻转测出的 0%
E042,R43,D11,Int Rename,RAT映射字段·单比特翻转,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,单比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期大概率翻到「当前未分配」的物理寄存器号，命中依赖检查失败→Crash，SDC 概率很低，类似 TC'23 对 ROB 字段翻转测出的 0%
E043,R44,D11,Int Rename,RAT映射字段·单比特翻转,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,单比特翻转,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期大概率翻到「当前未分配」的物理寄存器号，命中依赖检查失败→Crash，SDC 概率很低，类似 TC'23 对 ROB 字段翻转测出的 0%
E044,R45,D11,Int Rename,RAT映射字段·单比特翻转,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,单比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期大概率翻到「当前未分配」的物理寄存器号，命中依赖检查失败→Crash，SDC 概率很低，类似 TC'23 对 ROB 字段翻转测出的 0%
E045,R46,D11,Int Rename,RAT映射字段·单比特翻转,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,单比特翻转,F2,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期大概率翻到「当前未分配」的物理寄存器号，命中依赖检查失败→Crash，SDC 概率很低，类似 TC'23 对 ROB 字段翻转测出的 0%
E046,R47,D11,Int Rename,RAT映射字段·单比特翻转,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,单比特翻转,F2,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期大概率翻到「当前未分配」的物理寄存器号，命中依赖检查失败→Crash，SDC 概率很低，类似 TC'23 对 ROB 字段翻转测出的 0%
E047,R48,D12,Int Rename,RAT映射字段·双比特翻转,RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,双比特翻转,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,128 项物理寄存器需要 7 位编码，双比特翻转后落在「已分配」区间从而绕开依赖检查的概率高于单比特翻转，预期 SDC 概率略高于 「RAT映射字段·单比特翻转」，但仍显著低于 「RAT映射字段·换值(固定间隔)」 的结构化模型
E048,R49,D12,Int Rename,RAT映射字段·双比特翻转,RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,双比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,128 项物理寄存器需要 7 位编码，双比特翻转后落在「已分配」区间从而绕开依赖检查的概率高于单比特翻转，预期 SDC 概率略高于 「RAT映射字段·单比特翻转」，但仍显著低于 「RAT映射字段·换值(固定间隔)」 的结构化模型
E049,R50,D12,Int Rename,RAT映射字段·双比特翻转,RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,双比特翻转,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,128 项物理寄存器需要 7 位编码，双比特翻转后落在「已分配」区间从而绕开依赖检查的概率高于单比特翻转，预期 SDC 概率略高于 「RAT映射字段·单比特翻转」，但仍显著低于 「RAT映射字段·换值(固定间隔)」 的结构化模型
E050,R51,D12,Int Rename,RAT映射字段·双比特翻转,RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,双比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,128 项物理寄存器需要 7 位编码，双比特翻转后落在「已分配」区间从而绕开依赖检查的概率高于单比特翻转，预期 SDC 概率略高于 「RAT映射字段·单比特翻转」，但仍显著低于 「RAT映射字段·换值(固定间隔)」 的结构化模型
E051,R52,D13,Int Rename,RAT映射字段·换值(固定间隔),RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,换值（结构化）,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,新映射合法（该物理寄存器确实存在且在用），预期能绕开依赖检查，产生真正的 SDC——这是本方案对总表里「Int Rename 标红但无实验数据」这一矛盾的直接回应
E052,R53,D13,Int Rename,RAT映射字段·换值(固定间隔),RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,换值（结构化）,F0,—（不涉及事件触发）,分支误预测密集核,运行计数,2000 次运行,,,,,,,,新映射合法（该物理寄存器确实存在且在用），预期能绕开依赖检查，产生真正的 SDC——这是本方案对总表里「Int Rename 标红但无实验数据」这一矛盾的直接回应
E053,R54,D13,Int Rename,RAT映射字段·换值(固定间隔),RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,换值（结构化）,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,新映射合法（该物理寄存器确实存在且在用），预期能绕开依赖检查，产生真正的 SDC——这是本方案对总表里「Int Rename 标红但无实验数据」这一矛盾的直接回应
E054,R55,D13,Int Rename,RAT映射字段·换值(固定间隔),RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,换值（结构化）,F1,—（不涉及事件触发）,分支误预测密集核,运行计数,2000 次运行,,,,,,,,新映射合法（该物理寄存器确实存在且在用），预期能绕开依赖检查，产生真正的 SDC——这是本方案对总表里「Int Rename 标红但无实验数据」这一矛盾的直接回应
E055,R56,D14,Int Rename,RAT映射字段·换值(误预测事件触发),RAT 表项：某架构寄存器当前映射到的物理寄存器号字段,换值（结构化，事件触发版）,—（不适用固定间隔）,误预测恢复瞬间,分支误预测密集核,事件覆盖计数,覆盖≥2000次目标事件,,,,,,,,预期比 「RAT映射字段·换值(固定间隔)」 固定间隔版更高效地命中「RAT 正在被大量重写」的窗口，SDC 命中率预期不低于 「RAT映射字段·换值(固定间隔)」 的固定间隔版
E056,R57,D15,Int Rename,RAT映射字段·卡死,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,卡死（结构化）,F5,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,卡死和瞬态翻转面对的是同一道依赖检查机制，此前没有实验数据能证明持续性本身会显著改变 SDC 概率的期望值，所以按最坏情形分配样本，不像「RAT映射字段·换值(固定间隔)」那样有方向性预期；但持久性缺陷会让同一个错误反复影响多条指令而不是只错一次，预期「污染指令数」这个量会明显高于「RAT映射字段·单比特翻转」/「RAT映射字段·双比特翻转」，即使 SDC 概率本身不一定更高
E057,R58,D15,Int Rename,RAT映射字段·卡死,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,卡死（结构化）,F5,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,卡死和瞬态翻转面对的是同一道依赖检查机制，此前没有实验数据能证明持续性本身会显著改变 SDC 概率的期望值，所以按最坏情形分配样本，不像「RAT映射字段·换值(固定间隔)」那样有方向性预期；但持久性缺陷会让同一个错误反复影响多条指令而不是只错一次，预期「污染指令数」这个量会明显高于「RAT映射字段·单比特翻转」/「RAT映射字段·双比特翻转」，即使 SDC 概率本身不一定更高
E058,R59,D16,Int Rename,RAT映射字段·读到旧数据,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,错位拼接（结构化）：读到旧数据,—（不适用固定间隔）,该 RAT 表项被下一次重命名写入覆盖的瞬间,CoreMark,事件覆盖计数,覆盖≥2000次目标事件,,,,,,,,旧映射本身是合法的（几条指令之前确实用过），不会触发任何检查失败——这是本方案里预期 SDC 概率最高的几行之一，因为它绕开的不是某道逻辑检查，而是「数据到底新不新」这件事本身没有检查手段去确认
E059,R60,D16,Int Rename,RAT映射字段·读到旧数据,RAT（架构→物理映射表）表项：某架构寄存器当前映射到的物理寄存器号字段,错位拼接（结构化）：读到旧数据,—（不适用固定间隔）,该 RAT 表项被下一次重命名写入覆盖的瞬间,Embench,事件覆盖计数,覆盖≥2000次目标事件,,,,,,,,旧映射本身是合法的（几条指令之前确实用过），不会触发任何检查失败——这是本方案里预期 SDC 概率最高的几行之一，因为它绕开的不是某道逻辑检查，而是「数据到底新不新」这件事本身没有检查手段去确认
E060,R61,D17,Int Rename,空闲表·重复分配(固定间隔),Free List（空闲物理寄存器表）队列项,状态（结构化）：重复分配,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期 SDC 与 Crash 并存：如果两条指令的写入顺序恰好被后续读取按程序序正确消费，可能被掩蔽；顺序错乱则产生数据损坏类 SDC
E061,R62,D17,Int Rename,空闲表·重复分配(固定间隔),Free List（空闲物理寄存器表）队列项,状态（结构化）：重复分配,F1,—（不涉及事件触发）,长依赖链压力核,运行计数,2000 次运行,,,,,,,,预期 SDC 与 Crash 并存：如果两条指令的写入顺序恰好被后续读取按程序序正确消费，可能被掩蔽；顺序错乱则产生数据损坏类 SDC
E062,R63,D17,Int Rename,空闲表·重复分配(固定间隔),Free List（空闲物理寄存器表）队列项,状态（结构化）：重复分配,F2,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期 SDC 与 Crash 并存：如果两条指令的写入顺序恰好被后续读取按程序序正确消费，可能被掩蔽；顺序错乱则产生数据损坏类 SDC
E063,R64,D17,Int Rename,空闲表·重复分配(固定间隔),Free List（空闲物理寄存器表）队列项,状态（结构化）：重复分配,F2,—（不涉及事件触发）,长依赖链压力核,运行计数,2000 次运行,,,,,,,,预期 SDC 与 Crash 并存：如果两条指令的写入顺序恰好被后续读取按程序序正确消费，可能被掩蔽；顺序错乱则产生数据损坏类 SDC
E064,R65,D18,Int Rename,空闲表·重复分配(事件触发),Free List（空闲物理寄存器表）队列项,状态（结构化）：重复分配,—（不适用固定间隔）,空闲表剩余项数低于阈值（建议剩余 ≤8 项时）,长依赖链压力核,事件覆盖计数,覆盖≥2000次目标事件,,,,,,,,预期 SDC 与 Crash 并存：如果两条指令的写入顺序恰好被后续读取按程序序正确消费，可能被掩蔽；顺序错乱则产生数据损坏类 SDC；精确瞄准「空闲表快见底」这个窗口，预期比固定间隔版更高效地命中重复分配场景
E065,R66,D19,Int Rename,空闲表·丢失释放,Free List 队列项,时序（结构化）：丢失释放,F1（持续到运行结束，属于一次性触发后持续影响）,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期主导结果是 Timeout（空闲表耗尽后 rename 长期阻塞），SDC 概率很低——这个位置的价值在「前兆」：停顿周期数会在最终结局前明显上升，是本方案要验证的一种 SDC/Timeout 前兆特征
E066,R67,D19,Int Rename,空闲表·丢失释放,Free List 队列项,时序（结构化）：丢失释放,F1（持续到运行结束，属于一次性触发后持续影响）,—（不涉及事件触发）,长依赖链压力核,运行计数,2000 次运行,,,,,,,,预期主导结果是 Timeout（空闲表耗尽后 rename 长期阻塞），SDC 概率很低——这个位置的价值在「前兆」：停顿周期数会在最终结局前明显上升，是本方案要验证的一种 SDC/Timeout 前兆特征
E067,R68,D20,Int Rename,空闲表头/尾指针·单比特翻转,Free List 头/尾指针,单比特翻转,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,介于 「RAT映射字段·单比特翻转」 和 「空闲表·重复分配(固定间隔)」（重复分配）效应之间，预期结果分布是二者的混合
