Excel行,模型ID,单元,注入位置（结构与正常作用）,故障类型,故障模型（实施步骤与激活口径）,适用频率,适用负载（真实名称）,事件触发条件,传播链重点观测,预期结果（待验证假设）,设计理由,文献依据/直接性
12,T03,L1d-TLB,L1 d-TLB 的 PPN 读出通路中的一个固定物理位。与 T02 的一次性双翻转不同，卡死模型在每次读出翻译时都强制该位为 0 或 1，因此 refill 后仍可能再次表现同样错误。,卡死,选PPN某bit stuck-at-0/1，对每次TLB读出施加同一掩码。实施细则：在 warm-up 后固定一个物理 bit、lane 或控制位置，并独立执行 stuck-at-0 与 stuck-at-1 两个 campaign；之后每次读出/写入都施加同一掩码直到运行结束。若某次事件的正确值本来就等于卡死值，该次不增加 activated。激活口径：仅当“首个DTLB hit后持续”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F5,"TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）
GAP/Graph500 子集（BFS、SSSP、PageRank，固定图与结果哈希）",首个DTLB hit后持续,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；按VA聚合错误PA、别名矩阵、TLB refill后是否仍错,重复访问会形成稳定物理别名；高位常Crash，低位可能跨页静默读写,永久翻译故障与单次瞬态的传播不同,无直接永久DTLB结果
13,T04,L1d-TLB,L1 d-TLB 的整条 VA→PA 映射关系，重点是命中项的 PPN。模型保持 VPN、ASID、页大小和权限编码合法，只把目标物理页换成另一已映射数据页，以排除普通 page fault 的干扰。,换值,将命中项的PPN换成另一个当前合法、相同页大小的PPN；VPN/ASID保持一致。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“同时存在两个已映射数据页”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）,同时存在两个已映射数据页,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；记录源/目标页oracle、错误访问方向、TLBI恢复,预期比随机PPN翻转更高SDC，且不触发页故障,构造合法映射以测静默上限,本方案结构化模型
14,T05,L1d-TLB,L1 d-TLB 表项的身份与生命周期状态：valid 决定表项是否可命中，global 决定是否忽略 ASID，ASID 区分地址空间。它们错误时可能产生额外 page walk、陈旧翻译或跨地址空间命中。,状态,valid清零/伪造；global翻转；ASID替换为另一活跃ASID；每次只改一种状态。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“ASID切换或TLBI前后”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）,ASID切换或TLBI前后,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；stale translation使用次数、TLBI后残留、跨ASID命中,valid清零多为额外walk；伪造valid或错ASID可能跨地址空间SDC/安全违规,覆盖表项身份与生命周期，而不只数据位,TC'23未细分字段
15,T06,L1d-TLB,L1 d-TLB 表项的访问属性控制字段：AP 是读写权限，XN 是禁止执行属性，AttrIndx 选择内存类型，页大小决定 VPN/PPN 与页内偏移如何拼接。它们不改变 PPN 本身，但改变访问是否合法以及地址如何解释。,换值,替换为另一合法权限/内存类型/页大小编码；PPN不变。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“访问权限边界或不同memory attribute页”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）,访问权限边界或不同memory attribute页,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；权限检查、异常、memory type、地址拼接位,权限放宽可能静默越权；收紧多Crash；页大小错可产生系统性别名,结构化控制字段的风险不同于PPN随机翻转,本方案结构化模型
16,T07,L1d-TLB,L1 d-TLB 的 CAM 比较结果 match vector 与 way-select 选择器。match vector 表示哪些表项的 VPN/ASID 匹配，way-select 从匹配项中选出翻译；伪造零命中、双命中或错选 way 都属于比较/选择逻辑故障。,状态,伪造0命中、双命中或选择另一个valid way；不直接改表项内容。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“DTLB lookup”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）,DTLB lookup,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；match vector popcount、选择way、walk数量、断言,0命中多为性能；错误way且合法可能SDC；双命中应被监控/断言检出,覆盖CAM比较和选择逻辑,无直接文献
17,T08,L1d-TLB,d-TLB miss 后的 page-table walk 返回与 refill 通路。walker 根据页表得到 PTE，refill 逻辑再把 VPN、PPN、权限和状态写入某个 TLB 槽；事务 ID 或完成时序错误会把上一条 walk 的结果填给当前请求。,时序,丢失、重复、提前done，或把上一条walk结果填入当前表项。实施细则：绑定一条明确的 dynamic instruction 或 transaction ID，只改变一次事件的发生周期或次数；提前、延后、丢失和重复必须分成独立子模型。数据载荷保持正确，以便把结果归因于握手/完成时序而不是数据翻转。激活口径：仅当“DTLB miss并启动walk”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,"TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）
GAP/Graph500 子集（BFS、SSSP、PageRank，固定图与结果哈希）",DTLB miss并启动walk,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；walk ID、VA、返回PTE、refill槽、完成次序,旧结果错配最可能静默；丢失多Timeout；重复可能污染替换状态,TLB风险不仅在阵列，也在refill事务配对,本方案结构化模型
18,T09,L1d-TLB,L1 d-TLB 表项及其保护元数据，包括 parity/ECC、syndrome、错误上报、纠正回写和 poison 标记。B0 默认不启用这些保护，本位置仅在 S5 保护配置中存在。,保护,在S5保护配置中翻校验位、抑制上报、纠正不回写或丢poison；B0不执行。实施细则：仅在 S5 保护配置存在对应机制时执行；校验位翻转、检出未上报、纠正不回写、scrub 错地址和 poison 丢失分别作为独立 campaign。B0 无保护结果标为不适用，不允许填成零故障率。激活口径：仅当“仅S5保护配置”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F5 / F6,TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）,仅S5保护配置,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；syndrome、report、correction、scrub/writeback、poison传播,可能把可检出错误降级为SDC；必须与未保护B0分开报告,验证保护链本身而非只攻击数据,保护扩展实验，无直接文献
19,S01,Store Queue,Store Queue 有效表项中的 store data 数据域。store 在提交前把将写入内存的数据暂存在这里；后续可能直接转发给年轻 load，也可能在提交后写入 L1D。,单比特翻转,随机有效SQ项的数据域翻转1 bit；仅当该store最终写出或被forward时activated。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“SQ中存在未提交store”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F1 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）",SQ中存在未提交store,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；区分forward传播与cache写出传播、数据bit位置,可能在写回或forward时SDC；IISWC'15总体非掩蔽多低于3%,复现IISWC/Harpocrates数据域注入并修正分母,IISWC'15、Harpocrates++直接对照
20,S02,Store Queue,Store Queue 有效表项中的 store data 数据域，双比特同时位于同一条 store 的数据载荷内。该位置不包括地址、byte mask 或队列状态，因此能单独比较单比特和 MBU 的数据传播。,双比特翻转,同一8B片内翻2 bit；相邻/非相邻各半。实施细则：每次故障运行只选一个有效结构项，在同一字段内同时异或两个不同 bit；相邻位与非相邻位分层各占一半，并记录两个 bit 的编号、距离、原值和故障值。两个 bit 必须在同一个微架构事件生效，不与其他字段故障叠加。激活口径：仅当“有效SQ数据项”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）",有效SQ数据项,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；bit距离、forward/writeback路径、ECC状态,通常仍是合法数据，SDC可能不降；ECC启用时相邻双bit更可能不可纠正,数据字段没有非法编码门槛，需与地址/状态字段对照,CHAOS多bit规律性对照
21,S03,Store Queue,Store Queue 数据阵列的某个物理 bit/byte lane 或统一读写通路。byte lane 是并行承载一个字节的通路；卡死后，所有经过目标 lane 的 store 都会出现相同掩码损坏。,卡死,选一个数据bit或byte lane施加固定掩码，每次经过该SQ写口都损坏。实施细则：在 warm-up 后固定一个物理 bit、lane 或控制位置，并独立执行 stuck-at-0 与 stuck-at-1 两个 campaign；之后每次读出/写入都施加同一掩码直到运行结束。若某次事件的正确值本来就等于卡死值，该次不增加 activated。激活口径：仅当“首个store后持续”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F5,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",首个store后持续,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；按store宽度统计激活、错误模式是否恒定,稳定数据偏置，数值/校验和负载高SDC；未使用lane可掩蔽,永久门/写线故障模型,HPCA'24永久缓存故障仅作类型参考
22,S04,Store Queue,Store Queue 表项中的 store address 字段。它保存该 store 最终要写入的地址，同时参与与年轻 load 的地址比较；地址字段错误既会改变内存落点，也可能改变 store-to-load forwarding 判断。,换值,将地址替换成另一个合法、对齐、已分配对象地址；不改data。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“store提交前地址已知”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
MiniCheck 最小正确性探针（数组校验和、guard page、指针链、load/store round-trip）",store提交前地址已知,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；影子SQ地址、内存写日志、受害对象canary,绕开地址异常后预期SDC高；还可能破坏后续load forwarding,TC'23随机LQ/SQ翻转SDC=0可能受依赖检查影响，本模型测试合法状态边界,TC'23为随机翻转基线
23,S05,Store Queue,Store Queue 表项的 byte-enable 与访问 size。byte-enable 指出 data 中哪些字节有效，size 表示访问宽度；它们共同控制部分 store、非对齐 store 以及转发时的数据覆盖范围。,错位拼接,循环移位byte mask、交换高低半字、size换成另一合法值；data/address保持。实施细则：保持各输入片段本身不变，只修改片段来源、顺序、移位量或拼接选择，使结果仍是完整位串；交换、循环移位、清零和读旧值必须作为独立子模型统计。每次运行只启用一种拼接规则，记录每个输出字节/子字段的真实来源。激活口径：仅当“partial/unaligned store”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）
AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）",partial/unaligned store,L0 项是否被读/转发/提交；L1 addr/data/mask/valid/age与影子SQ；L2 forwarding/replay/violation/SSIT-LFST；L3 cache写请求与ack；L4 commit及内存写日志；L5结局；逐字节diff、邻接canary、forward mask与write mask一致性,最可能出现局部字节SDC且程序继续运行,SQ专属结构化风险，随机bit可能变成非法组合被拦截,无直接文献
